product_id,name,category,brand,sku,price,cost,stock_quantity,created_at
1,Robust scalable customer loyalty,Apparel,"Henry, Roberts and Smith",SKU-00001,364.4,267.83,675,2023-06-19
2,Object-based multi-tasking encoding,Health & Beauty,Mitchell and Sons,SKU-00002,433.3,250.72,353,2024-02-25
3,Programmable mission-critical algorithm,Apparel,Ramos-Fuller,SKU-00003,278.2,171.75,955,2025-06-09
4,Up-sized scalable conglomeration,Apparel,"Ortiz, Brown and Clayton",SKU-00004,435.45,345.01,585,2025-05-08
5,Managed bi-directional instruction set,Health & Beauty,"Cooper, Cohen and Garrison",SKU-00005,120.61,85.66,325,2025-09-22
6,Down-sized next generation strategy,Books,Morris PLC,SKU-00006,239.12,183.02,395,2025-05-17
7,Balanced next generation function,Books,"Velasquez, Vega and Kerr",SKU-00007,397.23,262.49,507,2024-05-08
8,Fundamental multi-tasking utilization,Electronics,Baker and Sons,SKU-00008,67.49,53.06,890,2023-07-11
9,Multi-tiered client-driven intranet,Electronics,Barrera-Green,SKU-00009,437.72,252.18,932,2024-11-23
10,Expanded directional benchmark,Health & Beauty,"Velasquez, Vega and Kerr",SKU-00010,12.6,5.77,76,2023-08-31
11,Mandatory multi-state attitude,Health & Beauty,Mitchell-Turner,SKU-00011,391.86,198.28,709,2023-06-04
12,Synchronized zero administration open architecture,Health & Beauty,"Coleman, Hughes and Davis",SKU-00012,326.67,241.97,389,2024-11-05
13,Object-based impactful definition,Apparel,Mitchell and Sons,SKU-00013,315.27,238.02,893,2024-01-01
14,Adaptive eco-centric website,Sports & Outdoors,"Brown, David and Fowler",SKU-00014,22.77,9.73,232,2023-04-25
15,Secured leadingedge synergy,Books,Davis-Martinez,SKU-00015,49.74,39.36,454,2023-12-10
16,Fundamental maximized interface,Home & Kitchen,"Cooper, Cohen and Garrison",SKU-00016,348.53,265.36,332,2024-04-26
17,Universal contextually-based throughput,Toys & Games,Schwartz PLC,SKU-00017,32.78,17.81,149,2023-06-02
18,Innovative impactful pricing structure,Home & Kitchen,Hamilton PLC,SKU-00018,267.93,167.82,174,2024-07-29
19,Programmable full-range task-force,Home & Kitchen,Mitchell-Turner,SKU-00019,44.09,32.99,699,2023-05-11
20,Open-source optimizing conglomeration,Home & Kitchen,"Ortiz, Brown and Clayton",SKU-00020,251.35,159.17,472,2023-02-25
21,Polarized holistic archive,Books,Fowler-Day,SKU-00021,130.72,65.64,920,2024-10-30
22,Customer-focused dynamic hub,Toys & Games,"Coleman, Hughes and Davis",SKU-00022,235.3,121.19,161,2025-10-17
